42,1,Cash 4 Mid-Day (AR),NULL,NULL,4,0,9,NULL,NULL,NULL,NULL,NULL,1137,NULL,NULL,NULL,NULL
43,1,Cash 4 Evening (AR),NULL,NULL,4,0,9,NULL,NULL,NULL,NULL,NULL,1138,NULL,NULL,NULL,NULL
44,1,SuperLotto (CA),NULL,NULL,5,1,47,27,NULL,7000000,NULL,NULL,1139,NULL,NULL,NULL,NULL
45,1,Fantasy 5 (CA),NULL,NULL,5,1,39,NULL,NULL,NULL,NULL,NULL,1140,NULL,NULL,NULL,NULL
46,1,Pick 4 (CA),NULL,NULL,4,0,9,NULL,NULL,NULL,NULL,NULL,1141,NULL,NULL,NULL,NULL
47,1,Pick 3 Mid-Day (CA),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1142,NULL,NULL,NULL,NULL
48,1,Pick 3 Evening (CA),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1143,NULL,NULL,NULL,NULL
49,1,Lotto (CO),NULL,NULL,6,1,40,NULL,NULL,NULL,NULL,NULL,1144,NULL,NULL,NULL,NULL
50,1,Pick 3 Mid-Day (CO),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1146,NULL,NULL,NULL,NULL
51,1,Pick 3 Evening (CO),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1147,NULL,NULL,NULL,NULL
52,1,Cash 5 (CO),NULL,NULL,5,1,32,NULL,NULL,0,20000,1.00,1148,NULL,NULL,NULL,NULL
53,1,Lotto (CT),NULL,NULL,6,1,44,NULL,NULL,1000000,NULL,1.00,1149,NULL,NULL,NULL,NULL
54,1,Cash 5 (CT),NULL,NULL,5,1,35,NULL,NULL,NULL,NULL,NULL,1150,NULL,NULL,NULL,NULL
55,1,Play 3 Mid-Day (CT),NULL,NULL,3,0,9,9,NULL,NULL,NULL,NULL,1151,NULL,NULL,NULL,NULL
56,1,Play 3 Evening (CT),NULL,NULL,3,0,9,9,NULL,NULL,NULL,NULL,1152,NULL,NULL,NULL,NULL
57,1,Play 4 Mid-Day (CT),NULL,NULL,4,0,9,9,NULL,NULL,NULL,NULL,1153,NULL,NULL,NULL,NULL
58,1,Play 4 Evening (CT),NULL,NULL,4,0,9,9,NULL,NULL,NULL,NULL,1154,NULL,NULL,NULL,NULL
59,1,Lucky Links Mid-Day (CT),NULL,NULL,8,0,NULL,NULL,NULL,NULL,NULL,NULL,1155,NULL,NULL,NULL,NULL
60,1,Lucky Links Evening (CT),NULL,NULL,8,0,NULL,NULL,NULL,NULL,NULL,NULL,1156,NULL,NULL,NULL,NULL
61,1,Multi-Win Lotto (DE),NULL,NULL,6,1,35,NULL,NULL,50000,NULL,2.00,1158,NULL,NULL,NULL,NULL
62,1,Pick 3 Mid-Day (DE),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1159,NULL,NULL,NULL,NULL
63,1,Pick 3 Evening (DE),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1160,NULL,NULL,NULL,NULL
64,1,Pick 4 Mid-Day (DE),NULL,NULL,4,0,9,NULL,NULL,NULL,NULL,NULL,1161,NULL,NULL,NULL,NULL
65,1,Pick 4 Evening (DE),NULL,NULL,4,0,9,NULL,NULL,NULL,NULL,NULL,1162,NULL,NULL,NULL,NULL
66,1,Pick 2 Mid-Day (DC),NULL,NULL,2,0,9,NULL,NULL,NULL,NULL,NULL,1163,NULL,NULL,NULL,NULL
67,1,Pick 2 Evening (DC),NULL,NULL,"2 ",0,9,NULL,NULL,NULL,NULL,NULL,1164,NULL,NULL,NULL,NULL
68,1,Pick 3 Mid-Day (DC),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1166,NULL,NULL,NULL,NULL
69,1,Pick 3 Evening (DC),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1167,NULL,NULL,NULL,NULL
70,1,Pick 4 Mid-Day (DC),NULL,NULL,4,0,9,NULL,NULL,NULL,NULL,NULL,1168,NULL,NULL,NULL,NULL
71,1,Pick 4 Evening (DC),NULL,NULL,4,0,9,NULL,NULL,NULL,NULL,NULL,1169,NULL,NULL,NULL,NULL
72,1,Pick 5 Mid-Day (DC),NULL,NULL,5,0,9,NULL,NULL,NULL,NULL,NULL,1170,NULL,NULL,NULL,NULL
73,1,Pick 5 Evening (DC),NULL,NULL,5,0,9,NULL,NULL,NULL,NULL,NULL,1171,NULL,NULL,NULL,NULL
74,1,Lotto (FL),NULL,NULL,6,1,53,NULL,NULL,NULL,NULL,NULL,1172,NULL,NULL,NULL,NULL
75,1,Lotto Double Play (FL),NULL,NULL,6,1,53,NULL,NULL,NULL,NULL,NULL,1173,NULL,NULL,NULL,NULL
76,1,Fantasy 5 (FL),NULL,NULL,5,1,36,NULL,NULL,NULL,NULL,NULL,1174,NULL,NULL,NULL,NULL
77,1,Triple Play (FL),NULL,NULL,6,1,46,NULL,NULL,NULL,NULL,NULL,1175,NULL,NULL,NULL,NULL
78,1,Pick 2 Mid-Day (FL),NULL,NULL,2,0,9,9,NULL,NULL,50,NULL,1176,NULL,NULL,NULL,NULL
79,1,Pick 2 Evening (FL),NULL,NULL,2,0,9,9,NULL,NULL,50,NULL,1177,NULL,NULL,NULL,NULL
80,1,Pick 3 Mid-Day (FL),NULL,NULL,3,0,9,9,NULL,NULL,500,1.00,1178,NULL,NULL,NULL,NULL
81,1,Pick 3 Evening (FL),NULL,NULL,3,0,9,9,NULL,NULL,500,1.00,1179,NULL,NULL,NULL,NULL
82,1,Pick 4 Mid-Day (FL),NULL,NULL,4,0,9,9,NULL,NULL,5000,NULL,1180,NULL,NULL,NULL,NULL
83,1,Pick 4 Evening (FL),NULL,NULL,4,0,9,9,NULL,NULL,5000,NULL,1181,NULL,NULL,NULL,NULL
84,1,Pick 5 Mid-Day (FL),NULL,NULL,5,0,9,9,NULL,NULL,50000,NULL,1182,NULL,NULL,NULL,NULL
85,1,Pick 5 Evening (FL),NULL,NULL,5,0,9,9,NULL,NULL,50000,NULL,1183,NULL,NULL,NULL,NULL
86,1,Pick 3 Mid-Day (GA),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1185,NULL,NULL,NULL,NULL
